Date,Close,GDP,Inflation,Interest Rate,VIX,Stock_Returns
2023-01-03,147.3999938964844,6.3,6.155075939,6.5,14.775,-0.008409014808775983
2023-01-04,145.8000030517578,6.3,6.155075939,6.5,14.775,-0.010854755162678198
2023-01-05,148.4499969482422,6.3,6.155075939,6.5,14.775,0.018175540747716212
2023-01-06,147.75,6.3,6.155075939,6.5,14.775,-0.004715371927466183
2023-01-09,151.3500061035156,6.3,6.155075939,6.5,14.775,0.02436552354325272
2023-01-10,151.8999938964844,6.3,6.155075939,6.5,14.775,0.0036338802166460127
2023-01-11,149.4499969482422,6.3,6.155075939,6.5,14.775,-0.016129012815575328
2023-01-12,146.8000030517578,6.3,6.155075939,6.5,14.775,-0.017731642359297806
2023-01-13,147.0500030517578,6.3,6.155075939,6.5,14.775,0.0017029972398014959
2023-01-16,146.75,6.3,6.155075939,6.5,14.775,-0.0020401431182032193
2023-01-17,146.8500061035156,6.3,6.155075939,6.5,14.775,0.0006814725963584234
2023-01-18,147.3999938964844,6.3,6.155075939,6.5,14.775,0.003745235070546249
2023-01-19,145.9499969482422,6.3,6.155075939,6.5,14.775,-0.009837157451041079
2023-01-20,144.0500030517578,6.3,6.155075939,6.5,14.775,-0.01301811535602948
2023-01-23,147.3500061035156,6.3,6.155075939,6.5,14.775,0.02290873295276552
2023-01-24,147.0500030517578,6.3,6.155075939,6.5,14.775,-0.002035989408422756
2023-01-25,146.3500061035156,6.3,6.155075939,6.5,14.775,-0.004760264765148237
2023-01-27,149.3500061035156,6.3,6.155075939,6.5,14.775,0.02049880338151855
2023-01-30,144.3000030517578,6.3,6.155075939,6.5,14.775,-0.03381320954387901
2023-01-31,149.5,6.3,6.155075939,6.5,14.775,0.036036014125218285
2023-02-01,147.6999969482422,6.5,6.16,6.5,15.1675,-0.012040154192359931
2023-02-02,152.0500030517578,6.5,6.16,6.5,15.1675,0.029451632995225907
2023-02-03,153.8999938964844,6.5,6.16,6.5,15.1675,0.012166989855941335
2023-02-06,152.8500061035156,6.5,6.16,6.5,15.1675,-0.006822533038403189
2023-02-07,149.4499969482422,6.5,6.16,6.5,15.1675,-0.02224408910373743
2023-02-08,148.5,6.5,6.16,6.5,15.1675,-0.0063566207269390995
